date,call_type,call_count,district,latitude,longitude,response_time,destruction_scale,event_category,event_name,event_radius_km,event_description,anomaly_flag
2023-04-27,Disaster,71,Varanasi,25.2219,83.1014,28.1,4.2,Natural,Heatwave,94,Prolonged period of extremely high temperatures affecting vulnerable populations.,False
2023-04-27,Medical,66,Bhubaneswar,20.4785,85.7693,11.9,6.9,Healthcare,Heatstroke Wave,91,"Multiple cases of heatstroke amid extreme temperatures, affecting vulnerable populations.",False
2023-04-27,Medical,32,Visakhapatnam,17.6663,83.2771,12.8,3.1,Healthcare,Heatstroke Wave,45,"Multiple cases of heatstroke amid extreme temperatures, affecting vulnerable populations.",False
2023-04-27,Medical,67,Mumbai,19.0623,73.0629,11.5,3.8,Healthcare,Gastroenteritis Outbreak,128,"Outbreak of gastroenteritis affecting multiple communities, likely from contaminated water.",False
2023-04-27,Fire,29,Shimla,31.2335,77.1357,14.7,9.4,Natural,Forest Fire,109,Wildfire spreading through forest areas threatening nearby settlements.,True
2023-04-27,Disaster,71,Varanasi,25.2219,83.1014,28.1,4.2,Natural,Heatwave,94,Prolonged period of extremely high temperatures affecting vulnerable populations.,False
2023-04-27,Medical,66,Bhubaneswar,20.4785,85.7693,11.9,6.9,Healthcare,Heatstroke Wave,91,Multiple cases of heatstroke amid extreme temperatures affecting vulnerable populations.,False
2023-04-27,Medical,32,Visakhapatnam,17.6663,83.2771,12.8,3.1,Healthcare,Heatstroke Wave,45,Multiple cases of heatstroke amid extreme temperatures affecting vulnerable populations.,False
2023-04-27,Medical,67,Mumbai,19.0623,73.0629,11.5,3.8,Healthcare,Gastroenteritis Outbreak,128,Outbreak of gastroenteritis affecting multiple communities likely from contaminated water.,False
2023-04-27,Fire,29,Shimla,31.2335,77.1357,14.7,9.4,Natural,Forest Fire,109,Wildfire spreading through forest areas threatening nearby settlements.,True
2025-04-27,Medical,90,Allahabad,25.4358,81.8463,18.5,5.3,Healthcare,Leptospirosis Cases,50,Post-monsoon outbreak in flood-affected areas,False
2025-04-27,Disaster,73,Agartala,23.8315,91.2868,22.3,6.15,Natural,Drought,120,Worst drought in decade affecting rice cultivation,True
2025-04-27,Disaster,90,Shimla,31.1048,77.1734,25.7,5.4,Natural,Drought,100,Water shortage in tourist areas,True
2025-04-27,Industrial,69,Vijayawada,16.5062,80.6480,30.2,8.0,Industrial,Power Plant Failure,15,Grid failure affecting 3 districts,True
2025-04-27,Disaster,49,Thiruvananthapuram,8.5241,76.9366,28.9,8.07,Industrial,Chemical Spill,20,Hazardous chemical spill at industrial facility,True
2025-04-27,Disaster,148,Visakhapatnam,17.6868,83.2185,35.5,8.5,Natural,Cyclone,150,Cyclone making landfall with destructive winds,True
2025-04-27,Medical,99,Bhubaneswar,20.2961,85.8245,15.2,6.7,Healthcare,Heatwave,80,Record-breaking temperatures (47°C),False
2025-04-27,Disaster,53,Aizawl,23.7271,92.7176,32.8,7.3,Environmental,Oil Spill,40,Oil pipeline rupture contaminating water sources,True
2025-04-27,Disaster,37,Imphal,24.8170,93.9368,19.5,9.35,Infrastructure,Structural Failure,5,Building collapse in urban area with casualties,True
2025-04-27,Disaster,187,Kolkata,22.5726,88.3639,27.3,6.0,Natural,Lightning Strike Incident,75,Multiple lightning strikes during thunderstorms,False
2025-04-28,Industrial,112,Chennai,13.0827,80.2707,32.1,7.8,Industrial,Chemical Plant Fire,8,Blast at petrochemical storage unit,True
