Pincode,District,State,Population_Density,Fire_Brigade_Vehicles,Ambulances,NDRF_Personnel,Special_Requirement
110001,New Delhi,Delhi,25000,10,8,120,"Rescue Boats, Hydraulic Platform"
110002,New Delhi,Delhi,22000,6,5,60,"CBRN Kit"
400001,Mumbai,Maharashtra,30000,12,10,150,"Turn Table Ladder"
400002,Mumbai,Maharashtra,27000,5,4,40,"Motorcycle Mist Unit"
700001,Kolkata,West Bengal,24000,8,7,80,"Hazmat Van"
700002,Kolkata,West Bengal,20000,3,3,20,"None"
600001,Chennai,Tamil Nadu,26000,15,12,200,"Rescue Boats, CBRN Kit"
600002,Chennai,Tamil Nadu,21000,6,5,60,"Hydraulic Platform"
500001,Hyderabad,Telangana,23000,10,9,130,"Hazmat Van, Rescue Boats"
500002,Hyderabad,Telangana,19000,4,3,30,"None"
560001,Bengaluru,Karnataka,22000,9,8,110,"Turn Table Ladder"
560002,Bengaluru,Karnataka,18000,2,2,15,"None"
800001,Patna,Bihar,25000,7,6,90,"Rescue Boats"
800002,Patna,Bihar,20000,4,3,35,"None"
122001,Gurgaon,Haryana,21000,5,4,50,"CBRN Kit"
122002,Gurgaon,Haryana,15000,1,1,5,"None"
400003,Mumbai,Maharashtra,29000,7,6,70,"High Capacity Pump"
400004,Mumbai,Maharashtra,26000,4,3,35,"Portable Lighting Units"
400005,Mumbai,Maharashtra,31000,11,9,140,"Chemical Spill Kit"
400006,Mumbai,Maharashtra,28000,6,5,55,"Communication Equipment"
400007,Mumbai,Maharashtra,25000,8,7,85,"First Aid Stations"
400008,Mumbai,Maharashtra,22000,3,2,25,"Search and Rescue Dogs"
400009,Mumbai,Maharashtra,32000,13,11,160,"Drone with Thermal Imaging"
400010,Mumbai,Maharashtra,27500,5,4,45,"Rope Rescue Gear"
400011,Mumbai,Maharashtra,24000,6,5,65,"Mass Casualty Incident Kit"
400012,Mumbai,Maharashtra,29500,9,8,100,"Mobile Command Center"
400013,Mumbai,Maharashtra,23000,4,3,30,"Traffic Management Equipment"
400014,Mumbai,Maharashtra,30500,10,9,125,"Evacuation Chairs"
400015,Mumbai,Maharashtra,26500,7,6,75,"Decontamination Unit"
400016,Mumbai,Maharashtra,21000,3,2,20,"Generator Sets"
400017,Mumbai,Maharashtra,33000,14,12,175,"Advanced Life Support Ambulances"
400018,Mumbai,Maharashtra,28500,6,5,50,"Searchlights"
400019,Mumbai,Maharashtra,25500,8,7,90,"Communication Tower Access Equipment"
400020,Mumbai,Maharashtra,22500,4,3,38,"Public Address System"
400021,Mumbai,Maharashtra,19000,2,2,18,"Basic First Aid Kits"
400022,Mumbai,Maharashtra,35000,16,14,200,"Heavy Lifting Equipment"
400023,Mumbai,Maharashtra,27000,5,4,42,"Explosion-Proof Lighting"
